Date,TAVG,TMAX,TMIN
1/1/1983,67,82,57
1/2/1983,68,86,56
1/3/1983,66,77,58
1/4/1983,67,74,60
1/5/1983,65,,58
1/6/1983,66,74,57
1/7/1983,66,74,
1/8/1983,63,73,56
1/9/1983,65,81,
1/10/1983,66,74,58
1/11/1983,62,72,57
1/12/1983,62,72,53
1/13/1983,63,,53
1/14/1983,63,72,53
1/15/1983,65,80,58
1/16/1983,61,73,
1/17/1983,61,71,52
1/18/1983,63,74,51
1/19/1983,69,82,55
1/20/1983,64,,
1/21/1983,62,66,
1/22/1983,59,68,54
1/23/1983,61,72,
1/24/1983,66,74,57
1/25/1983,64,68,62
1/26/1983,65,68,62
1/27/1983,65,69,61
1/28/1983,64,68,56
1/29/1983,64,69,56
1/30/1983,63,67,
1/31/1983,63,67,
2/1/1983,62,67,
2/2/1983,60,70,52
2/3/1983,60,68,50
2/4/1983,59,67,
2/5/1983,63,70,53
2/6/1983,63,69,55
2/7/1983,63,73,58
2/8/1983,65,72,57
2/9/1983,66,70,61
2/10/1983,69,78,
2/11/1983,61,64,
2/12/1983,61,66,58
2/13/1983,63,68,56
2/14/1983,61,67,
2/15/1983,61,71,53
2/16/1983,63,71,
2/17/1983,70,82,54
2/18/1983,68,73,
2/19/1983,71,80,62
2/20/1983,70,80,64
2/21/1983,69,83,59
2/22/1983,69,78,62
2/23/1983,64,71,
2/24/1983,62,69,
2/25/1983,60,70,53
2/26/1983,66,,54
2/27/1983,73,,60
2/28/1983,65,74,
3/1/1983,61,67,
3/2/1983,62,68,55
3/3/1983,61,69,54
3/4/1983,62,72,54
3/5/1983,74,85,
3/6/1983,76,,67
3/7/1983,66,76,
3/8/1983,63,69,
3/9/1983,65,72,55
3/10/1983,65,72,
3/11/1983,64,73,53
3/12/1983,65,,59
3/13/1983,67,72,64
3/14/1983,67,73,
3/15/1983,67,74,
3/16/1983,69,,64
3/17/1983,69,83,63
3/18/1983,67,71,64
3/19/1983,65,72,59
3/20/1983,65,73,
3/21/1983,66,74,55
3/22/1983,73,86,62
3/23/1983,72,79,67
3/24/1983,69,75,
3/25/1983,67,74,60
3/26/1983,67,77,58
3/27/1983,69,82,56
3/28/1983,70,82,58
3/29/1983,70,84,60
3/30/1983,71,87,60
3/31/1983,73,80,65
4/1/1983,70,78,64
4/2/1983,68,77,
4/3/1983,67,,59
4/4/1983,72,,65
4/5/1983,67,73,
4/6/1983,68,75,62
4/7/1983,69,76,62
4/8/1983,72,82,62
4/9/1983,76,88,63
4/10/1983,73,85,
4/11/1983,75,83,
4/12/1983,75,85,68
4/13/1983,74,83,
4/14/1983,74,81,
4/15/1983,70,79,62
4/16/1983,73,82,63
4/17/1983,74,87,63
4/18/1983,78,94,64
4/19/1983,80,94,69
4/20/1983,80,93,69
4/21/1983,78,89,
4/22/1983,79,90,67
4/23/1983,80,93,71
4/24/1983,81,92,
4/25/1983,82,94,72
4/26/1983,78,89,71
4/27/1983,75,87,
4/28/1983,79,93,66
4/29/1983,82,94,71
4/30/1983,79,,69
5/1/1983,80,89,
5/2/1983,87,96,74
5/3/1983,82,92,
5/4/1983,77,85,67
5/5/1983,78,89,69
5/6/1983,83,96,71
5/7/1983,85,97,72
5/8/1983,85,98,73
5/9/1983,86,96,76
5/10/1983,88,99,81
5/11/1983,88,99,75
5/12/1983,87,98,76
5/13/1983,87,98,75
5/14/1983,90,104,80
5/15/1983,91,105,82
5/16/1983,93,106,80
5/17/1983,92,105,81
5/18/1983,89,107,79
5/19/1983,89,103,79
5/20/1983,88,96,78
5/21/1983,87,98,
5/22/1983,90,99,80
5/23/1983,88,103,
5/24/1983,92,,81
5/25/1983,94,109,82
5/26/1983,91,107,79
5/27/1983,90,101,
5/28/1983,88,97,77
5/29/1983,90,101,
5/30/1983,89,100,
5/31/1983,85,94,76
6/1/1983,86,97,
6/2/1983,90,103,79
6/3/1983,93,110,
6/4/1983,93,107,82
6/5/1983,90,101,81
6/6/1983,90,101,82
6/7/1983,89,105,
6/8/1983,89,104,79
6/9/1983,90,108,80
6/10/1983,89,102,79
6/11/1983,87,104,78
6/12/1983,89,101,78
6/13/1983,90,,
6/14/1983,87,99,
6/15/1983,89,99,78
6/16/1983,92,104,85
6/17/1983,91,101,
6/18/1983,90,98,80
6/19/1983,89,100,77
6/20/1983,88,100,79
6/21/1983,88,100,76
6/22/1983,89,98,79
6/23/1983,89,99,78
6/24/1983,89,103,80
6/25/1983,93,109,80
6/26/1983,94,108,82
6/27/1983,92,107,82
6/28/1983,90,100,82
6/29/1983,92,105,82
6/30/1983,90,100,
7/1/1983,87,99,
7/2/1983,88,98,
7/3/1983,91,104,78
7/4/1983,91,103,
7/5/1983,91,103,84
7/6/1983,89,98,80
7/7/1983,92,103,
7/8/1983,92,107,
7/9/1983,92,103,82
7/10/1983,92,103,85
7/11/1983,94,108,84
7/12/1983,92,106,84
7/13/1983,99,117,82
7/14/1983,97,111,
7/15/1983,96,112,82
7/16/1983,92,109,81
7/17/1983,90,102,80
7/18/1983,91,107,
7/19/1983,94,110,83
7/20/1983,96,115,86
7/21/1983,97,,86
7/22/1983,96,105,87
7/23/1983,96,110,
7/24/1983,97,108,90
7/25/1983,96,106,91
7/26/1983,94,103,89
7/27/1983,93,,
7/28/1983,95,106,90
7/29/1983,93,101,
7/30/1983,92,103,
7/31/1983,93,100,86
8/1/1983,92,100,
8/2/1983,96,104,
8/3/1983,96,107,
8/4/1983,96,107,
8/5/1983,96,,91
8/6/1983,96,105,
8/7/1983,96,107,89
8/8/1983,94,102,88
8/9/1983,94,101,89
8/10/1983,95,103,
8/11/1983,91,99,
8/12/1983,92,101,83
8/13/1983,91,99,86
8/14/1983,94,103,
8/15/1983,95,107,87
8/16/1983,96,107,87
8/17/1983,96,105,
8/18/1983,95,110,
8/19/1983,96,106,86
8/20/1983,97,108,88
8/21/1983,98,112,88
8/22/1983,98,111,
8/23/1983,98,111,90
8/24/1983,96,108,
8/25/1983,94,104,
8/26/1983,93,101,86
8/27/1983,92,104,84
8/28/1983,92,104,83
8/29/1983,94,106,84
8/30/1983,94,105,85
8/31/1983,95,105,87
9/1/1983,93,106,85
9/2/1983,92,103,83
9/3/1983,91,103,84
9/4/1983,91,101,
9/5/1983,92,101,
9/6/1983,91,99,84
9/7/1983,93,,87
9/8/1983,93,106,85
9/9/1983,93,105,84
9/10/1983,92,101,86
9/11/1983,90,98,
9/12/1983,90,100,83
9/13/1983,91,102,83
9/14/1983,88,96,
9/15/1983,87,96,
9/16/1983,88,94,78
9/17/1983,89,,80
9/18/1983,90,101,78
9/19/1983,89,103,79
9/20/1983,87,97,77
9/21/1983,86,94,78
9/22/1983,87,95,77
9/23/1983,88,104,78
9/24/1983,89,,78
9/25/1983,87,101,74
9/26/1983,88,103,74
9/27/1983,87,101,
9/28/1983,86,99,75
9/29/1983,86,97,79
9/30/1983,87,97,
10/1/1983,87,98,
10/2/1983,89,99,78
10/3/1983,87,98,71
10/4/1983,86,98,75
10/5/1983,86,96,75
10/6/1983,87,96,77
10/7/1983,86,96,77
10/8/1983,83,91,
10/9/1983,83,91,70
10/10/1983,84,98,
10/11/1983,84,96,72
10/12/1983,83,94,
10/13/1983,81,,70
10/14/1983,82,94,70
10/15/1983,82,91,72
10/16/1983,83,94,71
10/17/1983,83,,
10/18/1983,83,93,72
10/19/1983,83,,
10/20/1983,82,96,71
10/21/1983,82,93,
10/22/1983,82,92,73
10/23/1983,82,91,
10/24/1983,81,92,72
10/25/1983,82,91,71
10/26/1983,80,91,
10/27/1983,80,92,67
10/28/1983,79,95,
10/29/1983,79,89,
10/30/1983,78,89,68
10/31/1983,78,95,64
11/1/1983,76,92,62
11/2/1983,79,,67
11/3/1983,77,89,68
11/4/1983,77,89,68
11/5/1983,77,87,68
11/6/1983,78,94,66
11/7/1983,76,91,63
11/8/1983,78,89,65
11/9/1983,76,87,
11/10/1983,75,87,64
11/11/1983,76,87,65
11/12/1983,75,88,67
11/13/1983,74,90,53
11/14/1983,74,90,59
11/15/1983,76,85,65
11/16/1983,76,86,
11/17/1983,75,87,
11/18/1983,73,83,63
11/19/1983,73,84,
11/20/1983,73,,63
11/21/1983,73,85,62
11/22/1983,74,,
11/23/1983,73,84,63
11/24/1983,72,83,
11/25/1983,72,,63
11/26/1983,72,82,
11/27/1983,72,86,
11/28/1983,71,87,
11/29/1983,72,85,61
11/30/1983,72,83,63
12/1/1983,72,85,
12/2/1983,71,83,62
12/3/1983,71,82,62
12/4/1983,72,86,63
12/5/1983,71,82,60
12/6/1983,71,84,60
12/7/1983,71,83,59
12/8/1983,71,81,62
12/9/1983,71,81,62
12/10/1983,71,82,62
12/11/1983,71,81,62
12/12/1983,72,82,64
12/13/1983,72,78,
12/14/1983,71,78,61
12/15/1983,69,77,
12/16/1983,67,79,58
12/17/1983,67,77,58
12/18/1983,69,79,
12/19/1983,68,77,
12/20/1983,68,74,58
12/21/1983,64,75,
12/22/1983,62,75,50
12/23/1983,64,76,
12/24/1983,63,74,53
12/25/1983,63,76,52
12/26/1983,63,75,50
12/27/1983,67,75,52
12/28/1983,67,74,
12/29/1983,68,76,57
12/30/1983,70,,62
12/31/1983,69,76,62
1/1/1984,66,75,59
1/2/1984,65,78,55
1/3/1984,64,74,
1/4/1984,65,77,
1/5/1984,66,,53
1/6/1984,67,77,52
1/7/1984,65,75,58
1/8/1984,66,80,48
1/9/1984,65,77,55
1/10/1984,64,75,54
1/11/1984,67,76,
1/12/1984,64,76,
1/13/1984,64,74,54
1/14/1984,63,74,53
1/15/1984,65,80,
1/16/1984,65,,51
1/17/1984,67,75,58
1/18/1984,68,74,
1/19/1984,65,74,57
1/20/1984,65,,
1/21/1984,63,75,53
1/22/1984,62,73,51
1/23/1984,61,72,
1/24/1984,62,73,53
1/25/1984,64,77,51
1/26/1984,64,74,53
1/27/1984,64,77,53
1/28/1984,65,81,54
1/29/1984,69,82,58
1/30/1984,65,,
1/31/1984,64,,61
2/1/1984,64,69,
2/2/1984,62,71,52
2/3/1984,61,74,48
2/4/1984,64,81,49
2/5/1984,65,79,55
2/6/1984,64,,
2/7/1984,63,75,52
2/8/1984,66,85,50
2/9/1984,68,81,
2/10/1984,64,76,55
2/11/1984,66,78,
2/12/1984,67,80,56
2/13/1984,66,86,55
2/14/1984,68,,55
2/15/1984,67,80,56
2/16/1984,67,76,59
2/17/1984,65,74,58
2/18/1984,66,75,58
2/19/1984,65,,
2/20/1984,63,76,
2/21/1984,66,80,52
2/22/1984,65,80,
2/23/1984,67,83,56
2/24/1984,69,87,57
2/25/1984,68,80,59
2/26/1984,69,86,60
2/27/1984,70,83,61
2/28/1984,71,85,
2/29/1984,69,77,
3/1/1984,66,77,57
3/2/1984,64,76,
3/3/1984,66,79,55
3/4/1984,67,77,55
3/5/1984,67,,58
3/6/1984,70,86,57
3/7/1984,72,89,58
3/8/1984,74,88,60
3/9/1984,74,93,
3/10/1984,73,84,63
3/11/1984,75,97,62
3/12/1984,76,90,63
3/13/1984,74,89,
3/14/1984,75,91,66
3/15/1984,74,83,64
3/16/1984,74,85,68
3/17/1984,71,81,63
3/18/1984,76,92,64
3/19/1984,72,83,
3/20/1984,77,94,68
3/21/1984,78,90,
3/22/1984,78,,68
3/23/1984,75,82,67
3/24/1984,71,80,
3/25/1984,69,87,61
3/26/1984,83,102,68
3/27/1984,82,101,
3/28/1984,75,,67
3/29/1984,75,90,66
3/30/1984,76,90,66
3/31/1984,80,98,68
4/1/1984,79,88,
4/2/1984,75,87,66
4/3/1984,73,85,64
4/4/1984,74,85,
4/5/1984,77,91,65
4/6/1984,81,95,70
4/7/1984,78,93,
4/8/1984,76,91,65
4/9/1984,85,,66
4/10/1984,92,104,
4/11/1984,88,101,75
4/12/1984,89,105,
4/13/1984,80,97,72
4/14/1984,80,92,69
4/15/1984,78,89,
4/16/1984,82,93,68
4/17/1984,89,,
4/18/1984,81,91,
4/19/1984,76,85,68
4/20/1984,78,93,65
4/21/1984,82,102,67
4/22/1984,84,102,69
4/23/1984,85,108,69
4/24/1984,88,105,72
4/25/1984,88,105,
4/26/1984,84,92,74
4/27/1984,79,88,
4/28/1984,80,91,66
4/29/1984,82,94,69
4/30/1984,84,99,72
5/1/1984,80,102,
5/2/1984,80,91,
5/3/1984,77,87,
5/4/1984,78,,68
5/5/1984,88,100,70
5/6/1984,89,106,
5/7/1984,86,102,73
5/8/1984,90,107,
5/9/1984,93,109,
5/10/1984,94,104,
5/11/1984,87,96,
5/12/1984,82,,76
5/13/1984,85,96,74
5/14/1984,82,94,
5/15/1984,81,91,
5/16/1984,81,93,69
5/17/1984,84,,
5/18/1984,85,101,74
5/19/1984,84,98,75
5/20/1984,85,97,71
5/21/1984,89,103,74
5/22/1984,87,99,75
5/23/1984,87,100,74
5/24/1984,86,96,
5/25/1984,86,,
5/26/1984,85,95,75
5/27/1984,87,99,75
5/28/1984,86,108,72
5/29/1984,89,,79
5/30/1984,86,100,
5/31/1984,86,96,
6/1/1984,84,94,72
6/2/1984,87,99,74
6/3/1984,83,94,72
6/4/1984,85,97,
6/5/1984,89,103,74
6/6/1984,89,102,78
6/7/1984,85,97,
6/8/1984,87,98,75
6/9/1984,87,101,76
6/10/1984,87,102,78
6/11/1984,89,106,
6/12/1984,89,101,78
6/13/1984,88,98,
6/14/1984,89,,
6/15/1984,86,97,78
6/16/1984,86,97,
6/17/1984,86,97,80
6/18/1984,87,98,78
6/19/1984,86,98,78
6/20/1984,89,99,77
6/21/1984,88,98,78
6/22/1984,86,96,78
6/23/1984,86,96,77
6/24/1984,86,,
6/25/1984,85,96,76
6/26/1984,86,96,76
6/27/1984,86,,77
6/28/1984,87,98,82
6/29/1984,89,98,81
6/30/1984,90,100,
7/1/1984,90,110,79
7/2/1984,88,101,76
7/3/1984,91,109,76
7/4/1984,94,111,78
7/5/1984,95,114,80
7/6/1984,94,116,82
7/7/1984,93,115,80
7/8/1984,92,113,82
7/9/1984,91,103,83
7/10/1984,89,100,82
7/11/1984,90,103,
7/12/1984,95,111,82
7/13/1984,97,111,85
7/14/1984,95,110,
7/15/1984,92,104,83
7/16/1984,93,107,
7/17/1984,91,100,
7/18/1984,90,102,80
7/19/1984,92,102,81
7/20/1984,93,102,
7/21/1984,99,108,90
7/22/1984,96,111,
7/23/1984,95,110,86
7/24/1984,95,109,88
7/25/1984,98,110,87
7/26/1984,94,107,
7/27/1984,92,102,83
7/28/1984,91,100,82
7/29/1984,92,101,84
7/30/1984,94,109,
7/31/1984,98,110,87
8/1/1984,96,112,88
8/2/1984,91,103,
8/3/1984,91,101,82
8/4/1984,91,101,
8/5/1984,90,,82
8/6/1984,92,107,80
8/7/1984,93,104,
8/8/1984,94,,
8/9/1984,92,104,
8/10/1984,90,100,
8/11/1984,90,98,
8/12/1984,89,97,82
8/13/1984,89,98,80
8/14/1984,89,98,82
8/15/1984,90,99,82
8/16/1984,91,,84
8/17/1984,91,100,
8/18/1984,90,98,85
8/19/1984,89,,84
8/20/1984,89,98,82
8/21/1984,91,99,84
8/22/1984,92,103,86
8/23/1984,92,98,87
8/24/1984,92,97,88
8/25/1984,91,99,
8/26/1984,89,98,
8/27/1984,88,98,79
8/28/1984,88,97,
8/29/1984,89,98,
8/30/1984,92,109,80
8/31/1984,89,100,
9/1/1984,89,99,81
9/2/1984,90,99,82
9/3/1984,93,104,
9/4/1984,92,103,
9/5/1984,92,106,82
9/6/1984,93,110,81
9/7/1984,91,108,
9/8/1984,90,102,
9/9/1984,90,109,76
9/10/1984,89,104,78
9/11/1984,89,99,77
9/12/1984,92,107,78
9/13/1984,89,101,
9/14/1984,89,101,81
9/15/1984,87,99,77
9/16/1984,91,105,77
9/17/1984,90,103,81
9/18/1984,88,99,78
9/19/1984,87,98,78
9/20/1984,85,96,75
9/21/1984,90,108,
9/22/1984,89,104,77
9/23/1984,87,101,72
9/24/1984,85,97,73
9/25/1984,86,101,
9/26/1984,87,101,75
9/27/1984,87,98,76
9/28/1984,85,95,72
9/29/1984,85,98,72
9/30/1984,84,99,74
10/1/1984,83,99,73
10/2/1984,84,97,71
10/3/1984,83,94,72
10/4/1984,83,96,
10/5/1984,82,94,72
10/6/1984,85,99,74
10/7/1984,85,99,77
10/8/1984,83,93,74
10/9/1984,87,101,76
10/10/1984,84,99,
10/11/1984,82,98,
10/12/1984,81,,71
10/13/1984,84,95,74
10/14/1984,83,93,74
10/15/1984,83,94,73
10/16/1984,82,96,
10/17/1984,81,91,71
10/18/1984,81,92,71
10/19/1984,82,97,
10/20/1984,82,91,
10/21/1984,80,89,
10/22/1984,79,87,69
10/23/1984,78,89,67
10/24/1984,78,88,66
10/25/1984,78,87,69
10/26/1984,78,,69
10/27/1984,77,87,
10/28/1984,76,89,
10/29/1984,76,94,59
10/30/1984,75,91,60
10/31/1984,74,91,62
11/1/1984,74,91,
11/2/1984,74,90,58
11/3/1984,76,90,64
11/4/1984,75,89,64
11/5/1984,76,86,64
11/6/1984,78,87,68
11/7/1984,78,87,70
11/8/1984,78,89,
11/9/1984,77,91,
11/10/1984,77,91,66
11/11/1984,77,95,64
11/12/1984,78,94,
11/13/1984,76,89,62
11/14/1984,75,,66
11/15/1984,73,85,66
11/16/1984,77,95,66
11/17/1984,76,91,67
11/18/1984,77,93,65
11/19/1984,77,90,67
11/20/1984,77,85,
11/21/1984,76,83,
11/22/1984,72,84,64
11/23/1984,72,81,
11/24/1984,74,90,61
11/25/1984,72,86,
11/26/1984,69,83,
11/27/1984,71,83,
11/28/1984,72,80,
11/29/1984,70,82,
11/30/1984,71,,
12/1/1984,74,82,
12/2/1984,71,81,
12/3/1984,70,83,57
12/4/1984,71,83,
12/5/1984,73,82,
12/6/1984,73,82,
12/7/1984,73,87,
12/8/1984,73,81,64
12/9/1984,73,80,70
12/10/1984,69,74,
12/11/1984,72,80,65
12/12/1984,69,79,
12/13/1984,68,79,56
12/14/1984,72,80,59
12/15/1984,73,,
12/16/1984,68,76,
12/17/1984,68,78,58
12/18/1984,69,80,58
12/19/1984,68,78,
12/20/1984,67,77,
12/21/1984,64,76,55
12/22/1984,64,,51
12/23/1984,65,77,
12/24/1984,65,,
12/25/1984,65,79,54
12/26/1984,66,77,
12/27/1984,67,80,56
12/28/1984,69,81,60
12/29/1984,65,72,
12/30/1984,64,74,56
12/31/1984,64,73,54
1/1/1985,63,74,55
1/2/1985,67,81,55
1/3/1985,73,83,63
1/4/1985,71,78,
1/5/1985,67,75,60
1/6/1985,65,70,
1/7/1985,63,73,57
1/8/1985,64,73,56
1/9/1985,63,73,54
1/10/1985,64,74,54
1/11/1985,63,73,
1/12/1985,65,74,56
1/13/1985,66,75,59
1/14/1985,66,75,57
1/15/1985,68,77,59
1/16/1985,68,79,61
1/17/1985,69,83,57
1/18/1985,62,,
1/19/1985,67,79,
1/20/1985,68,78,56
1/21/1985,68,78,60
1/22/1985,71,82,60
1/23/1985,71,84,62
1/24/1985,70,80,62
1/25/1985,69,79,
1/26/1985,68,77,61
1/27/1985,71,76,64
1/28/1985,69,76,62
1/29/1985,69,79,
1/30/1985,71,83,60
1/31/1985,71,85,
2/1/1985,74,89,62
2/2/1985,74,,64
2/3/1985,74,87,66
2/4/1985,69,76,
2/5/1985,65,76,55
2/6/1985,69,76,57
2/7/1985,67,73,
2/8/1985,64,74,53
2/9/1985,65,73,52
2/10/1985,66,76,55
2/11/1985,65,76,53
2/12/1985,64,76,55
2/13/1985,65,75,54
2/14/1985,63,73,54
2/15/1985,62,74,50
2/16/1985,67,81,51
2/17/1985,67,74,
2/18/1985,67,73,64
2/19/1985,66,74,
2/20/1985,64,76,52
2/21/1985,64,75,53
2/22/1985,66,79,53
2/23/1985,64,,51
2/24/1985,65,71,
2/25/1985,64,74,52
2/26/1985,67,81,
2/27/1985,69,78,59
2/28/1985,66,72,
3/1/1985,65,74,
3/2/1985,65,75,55
3/3/1985,68,77,54
3/4/1985,67,,
3/5/1985,64,74,55
3/6/1985,66,72,
3/7/1985,70,86,58
3/8/1985,70,78,
3/9/1985,68,,59
3/10/1985,66,76,57
3/11/1985,65,75,56
3/12/1985,66,76,56
3/13/1985,69,,55
3/14/1985,71,87,60
3/15/1985,72,88,59
3/16/1985,74,90,62
3/17/1985,76,92,
3/18/1985,77,96,63
3/19/1985,79,99,63
3/20/1985,83,102,66
3/21/1985,80,96,67
3/22/1985,82,100,
3/23/1985,78,90,68
3/24/1985,85,,
3/25/1985,79,88,
3/26/1985,76,84,69
3/27/1985,73,81,66
3/28/1985,73,82,63
3/29/1985,77,90,64
3/30/1985,76,87,
3/31/1985,71,80,62
4/1/1985,72,83,63
4/2/1985,78,94,63
4/3/1985,81,98,69
4/4/1985,80,98,
4/5/1985,78,86,68
4/6/1985,77,85,
4/7/1985,78,,68
4/8/1985,76,84,
4/9/1985,74,85,63
4/10/1985,74,81,64
4/11/1985,76,85,68
4/12/1985,74,83,
4/13/1985,73,87,
4/14/1985,73,85,
4/15/1985,73,88,61
4/16/1985,73,86,59
4/17/1985,77,,65
4/18/1985,76,87,
4/19/1985,74,84,64
4/20/1985,80,96,
4/21/1985,84,99,69
4/22/1985,86,102,73
4/23/1985,87,104,73
4/24/1985,87,,73
4/25/1985,80,89,
4/26/1985,76,85,65
4/27/1985,78,,65
4/28/1985,82,94,68
4/29/1985,84,94,
4/30/1985,81,92,68
5/1/1985,77,88,68
5/2/1985,78,88,68
5/3/1985,81,91,69
5/4/1985,86,100,63
5/5/1985,85,97,
5/6/1985,81,91,74
5/7/1985,85,94,
5/8/1985,85,96,79
5/9/1985,85,97,75
5/10/1985,86,98,74
5/11/1985,83,95,75
5/12/1985,85,96,75
5/13/1985,85,99,75
5/14/1985,83,92,75
5/15/1985,83,92,72
5/16/1985,87,,72
5/17/1985,87,97,77
5/18/1985,87,97,75
5/19/1985,85,,74
5/20/1985,82,93,
5/21/1985,86,98,71
5/22/1985,88,100,78
5/23/1985,89,99,76
5/24/1985,88,104,75
5/25/1985,90,101,77
5/26/1985,90,104,76
5/27/1985,92,110,77
5/28/1985,90,104,77
5/29/1985,87,108,77
5/30/1985,88,103,78
5/31/1985,88,100,76
6/1/1985,87,99,76
6/2/1985,87,99,78
6/3/1985,88,99,77
6/4/1985,87,96,
6/5/1985,87,99,76
6/6/1985,93,109,76
6/7/1985,93,111,80
6/8/1985,91,105,79
6/9/1985,88,99,76
6/10/1985,87,96,79
6/11/1985,85,98,75
6/12/1985,86,97,
6/13/1985,88,101,
6/14/1985,90,107,
6/15/1985,89,101,79
6/16/1985,88,99,78
6/17/1985,88,101,77
6/18/1985,89,101,78
6/19/1985,87,98,77
6/20/1985,88,99,79
6/21/1985,89,99,
6/22/1985,88,99,78
6/23/1985,90,96,
6/24/1985,92,,
6/25/1985,90,104,79
6/26/1985,89,101,
6/27/1985,89,101,
6/28/1985,90,100,81
6/29/1985,90,,
6/30/1985,90,100,79
7/1/1985,88,99,80
7/2/1985,89,100,79
7/3/1985,93,99,79
7/4/1985,92,102,83
7/5/1985,91,,77
7/6/1985,91,,80
7/7/1985,91,99,81
7/8/1985,89,99,
7/9/1985,94,108,81
7/10/1985,96,112,84
7/11/1985,93,110,
7/12/1985,94,107,83
7/13/1985,92,108,84
7/14/1985,91,99,82
7/15/1985,96,106,83
7/16/1985,94,104,87
7/17/1985,96,107,
7/18/1985,98,111,88
7/19/1985,97,,
7/20/1985,97,110,89
7/21/1985,94,,90
7/22/1985,97,,
7/23/1985,97,105,87
7/24/1985,93,103,86
7/25/1985,91,102,
7/26/1985,92,101,82
7/27/1985,95,108,
7/28/1985,93,105,
7/29/1985,91,99,
7/30/1985,91,101,83
7/31/1985,94,100,87
8/1/1985,96,104,87
8/2/1985,96,,89
8/3/1985,98,114,91
8/4/1985,99,114,88
8/5/1985,98,113,89
8/6/1985,95,108,
8/7/1985,92,101,83
8/8/1985,98,112,86
8/9/1985,96,107,
8/10/1985,94,104,86
8/11/1985,97,,86
8/12/1985,99,114,
8/13/1985,99,113,86
8/14/1985,97,108,
8/15/1985,92,110,79
8/16/1985,97,108,85
8/17/1985,95,114,82
8/18/1985,95,112,82
8/19/1985,93,109,
8/20/1985,94,111,79
8/21/1985,94,112,80
8/22/1985,94,113,81
8/23/1985,92,109,
8/24/1985,94,108,79
8/25/1985,97,110,
8/26/1985,98,112,86
8/27/1985,98,109,86
8/28/1985,94,107,86
8/29/1985,93,106,82
8/30/1985,92,102,80
8/31/1985,92,110,
9/1/1985,94,107,82
9/2/1985,91,105,80
9/3/1985,90,104,
9/4/1985,89,99,78
9/5/1985,89,98,76
9/6/1985,91,105,79
9/7/1985,92,107,79
9/8/1985,92,106,81
9/9/1985,90,106,78
9/10/1985,89,103,
9/11/1985,86,101,74
9/12/1985,87,97,76
9/13/1985,88,103,77
9/14/1985,90,106,78
9/15/1985,87,96,77
9/16/1985,91,108,
9/17/1985,88,,78
9/18/1985,88,102,76
9/19/1985,86,98,
9/20/1985,87,97,78
9/21/1985,89,101,77
9/22/1985,89,101,77
9/23/1985,89,100,79
9/24/1985,87,98,79
9/25/1985,87,95,77
9/26/1985,88,100,77
9/27/1985,89,99,78
9/28/1985,87,96,
9/29/1985,88,102,75
9/30/1985,87,98,75
10/1/1985,87,98,77
10/2/1985,86,99,78
10/3/1985,88,105,
10/4/1985,86,101,73
10/5/1985,86,,71
10/6/1985,87,96,76
10/7/1985,86,96,76
10/8/1985,86,94,75
10/9/1985,84,94,76
10/10/1985,84,94,
10/11/1985,84,93,75
10/12/1985,85,98,74
10/13/1985,86,99,74
10/14/1985,85,,
10/15/1985,86,100,75
10/16/1985,83,94,73
10/17/1985,84,99,69
10/18/1985,83,99,
10/19/1985,81,97,68
10/20/1985,83,93,71
10/21/1985,82,94,71
10/22/1985,84,93,74
10/23/1985,81,88,75
10/24/1985,81,90,72
10/25/1985,81,89,71
10/26/1985,82,94,71
10/27/1985,81,94,69
10/28/1985,81,92,71
10/29/1985,80,,69
10/30/1985,79,89,69
10/31/1985,79,91,71
11/1/1985,78,91,67
11/2/1985,80,,67
11/3/1985,80,91,69
11/4/1985,80,91,70
11/5/1985,82,89,69
11/6/1985,81,89,70
11/7/1985,80,,70
11/8/1985,79,88,69
11/9/1985,77,87,
11/10/1985,76,89,65
11/11/1985,78,94,
11/12/1985,76,,64
11/13/1985,76,90,
11/14/1985,79,87,67
11/15/1985,77,85,67
11/16/1985,76,84,
11/17/1985,74,85,65
11/18/1985,74,85,64
11/19/1985,74,89,62
11/20/1985,75,86,62
11/21/1985,75,85,65
11/22/1985,75,84,65
11/23/1985,74,83,65
11/24/1985,73,87,64
11/25/1985,74,,64
11/26/1985,74,86,
11/27/1985,74,83,64
11/28/1985,74,83,64
11/29/1985,75,85,66
11/30/1985,74,85,65
12/1/1985,72,82,60
12/2/1985,72,84,62
12/3/1985,73,85,63
12/4/1985,70,82,59
12/5/1985,71,83,65
12/6/1985,70,,
12/7/1985,66,78,56
12/8/1985,66,81,
12/9/1985,65,78,51
12/10/1985,64,,51
12/11/1985,65,78,51
12/12/1985,68,78,
12/13/1985,66,78,
12/14/1985,66,78,55
12/15/1985,66,77,54
12/16/1985,65,76,53
12/17/1985,67,83,57
12/18/1985,72,86,57
12/19/1985,73,83,64
12/20/1985,74,84,
12/21/1985,71,78,
12/22/1985,73,86,60
12/23/1985,73,86,63
12/24/1985,73,81,65
12/25/1985,73,79,65
12/26/1985,69,79,
12/27/1985,70,78,60
12/28/1985,69,74,
12/29/1985,68,74,
12/30/1985,66,75,57
12/31/1985,67,74,
1/1/1986,62,74,50
1/2/1986,63,74,
1/3/1986,62,75,52
1/4/1986,62,75,50
1/5/1986,64,75,55
1/6/1986,65,75,55
1/7/1986,66,,55
1/8/1986,66,75,57
1/9/1986,64,76,55
1/10/1986,65,76,55
1/11/1986,64,76,53
